gse_id,species,catalog_species,protocol,nrows,ncols,n_genes,nnz,density,is_usa,pz_bytes,raw_int32_bytes,ratio,bits_per_nz,codec,has_transpose,has_obs_var,num_chunks
GSE134180,Mus musculus,,,171540,163,57180,64594,0.00231,True,1609387,517408,0.321,199.323,vocsc+zstd,False,True,1
GSE134365,Mus musculus,Mus musculus,10xv3,171540,17473,57180,57929139,0.019327,True,46368494,463503008,9.996,6.403,vocsc+zstd,False,True,18
GSE134420,Mus musculus,Mus musculus,10xv2,171540,69163,57180,17115051,0.001443,True,18468512,137197064,7.429,8.633,vocsc+zstd,False,True,68
GSE134439,Mus musculus,Mus musculus,10xv2,171540,14976,57180,36555205,0.014229,True,27363939,292501548,10.689,5.989,vocsc+zstd,False,True,15
GSE134722,Drosophila melanogaster,Drosophila melanogaster,10xv2,72834,1282211,24278,45947391,0.000492,True,63449854,372707976,5.874,11.047,vocsc+zstd,False,True,1253
GSE134726,Mus musculus,Mus musculus,10xv2,171540,38597,57180,49383789,0.007459,True,42447021,395224704,9.311,6.876,vocsc+zstd,False,True,38
GSE134731,Mus musculus,,,171540,17662,57180,65815866,0.021723,True,50972622,526597580,10.331,6.196,vocsc+zstd,False,True,18
GSE134837,Homo sapiens,,,115818,4920,38606,5655698,0.009925,True,5527749,45265268,8.189,7.819,vocsc+zstd,False,True,5
GSE134838,Homo sapiens,,,115818,8249,38606,8881805,0.009297,True,8041424,71087440,8.84,7.243,vocsc+zstd,False,True,9
GSE134839,Homo sapiens,,,115818,2357,38606,5671469,0.020776,True,5262896,45381184,8.623,7.424,vocsc+zstd,False,True,3
GSE134840,Homo sapiens,,,115818,2422,38606,5165653,0.018415,True,4898808,41334916,8.438,7.587,vocsc+zstd,False,True,3
GSE134841,Homo sapiens,,,115818,145293,38606,16554642,0.000984,True,19824828,133018312,6.71,9.58,vocsc+zstd,False,True,142
GSE134842,Homo sapiens,,,115818,3218,38606,5004556,0.013428,True,4904400,40049324,8.166,7.84,vocsc+zstd,False,True,4
GSE134902,Mus musculus,Mus musculus,10xv2,171540,9523,57180,13860563,0.008485,True,12148882,110922600,9.13,7.012,vocsc+zstd,False,True,10
GSE134918,Mus musculus,,,171540,304646,57180,78879563,0.001509,True,87468899,632255092,7.228,8.871,vocsc+zstd,False,True,298
GSE135076,Homo sapiens,Homo sapiens,dropseq,115818,177,38606,78739,0.003841,True,1020780,630624,0.618,103.713,vocsc+zstd,False,True,1
GSE135096,Mus musculus,,,171540,22596,57180,14817111,0.003823,True,14996592,118627276,7.91,8.097,vocsc+zstd,False,True,23
GSE135167,Mus musculus,Mus musculus,10xv2,171540,9840,57180,20041848,0.011873,True,17722400,160374148,9.049,7.074,vocsc+zstd,False,True,10
GSE135185,Mus musculus,Mus musculus,10xv2,171540,25365,57180,13485341,0.003099,True,13359548,107984192,8.083,7.925,vocsc+zstd,False,True,25
GSE135186,Mus musculus,Mus musculus,10xv2,171540,3491,57180,6012459,0.01004,True,6366272,48113640,7.558,8.471,vocsc+zstd,False,True,4
GSE135253,Homo sapiens,Homo sapiens,10xv3,115818,3172,38606,11801827,0.032125,True,9218391,94427308,10.243,6.249,vocsc+zstd,False,True,4
GSE135296,Mus musculus,Mus musculus,unknown,171540,721174,57180,73305720,0.000593,True,92134195,589330460,6.396,10.055,vocsc+zstd,False,True,705
GSE135310,Mus musculus,Mus musculus,10xv2,171540,81855,57180,1008035,7.2e-05,True,3548775,8391704,2.365,28.164,vocsc+zstd,False,True,80
GSE135337,Homo sapiens,Homo sapiens,10x_suspect,115818,1402459,38606,302361439,0.001861,True,276519258,2424501352,8.768,7.316,vocsc+zstd,False,True,1370
GSE135357,Homo sapiens,Homo sapiens,parse,115818,62750,38606,137106162,0.018865,True,102581181,1097100300,10.695,5.986,vocsc+zstd,False,True,62
GSE135601,Mus musculus,Mus musculus,unknown,171540,8323,57180,26711042,0.018709,True,20112191,213721632,10.626,6.024,vocsc+zstd,False,True,9
GSE135618,Homo sapiens,Mus musculus; Homo sapiens,10xv2,115818,27358,38606,9222427,0.002911,True,10552730,73888852,7.002,9.154,vocsc+zstd,False,True,27
GSE135893,Homo sapiens,Homo sapiens,10xv3_5prime,115818,75214,38606,31804436,0.003651,True,32717268,254736348,7.786,8.23,vocsc+zstd,False,True,74
GSE135922,Homo sapiens,Homo sapiens,10xv3,115818,10115,38606,45032046,0.03844,True,36954082,360296832,9.75,6.565,vocsc+zstd,False,True,10
GSE136028,Mus musculus,,,171540,38040,57180,41144224,0.006305,True,37946091,329305956,8.678,7.378,vocsc+zstd,False,True,38
GSE136035,Homo sapiens,Homo sapiens,10xv3_5prime,115818,9742,38606,3117642,0.002763,True,4068518,24980108,6.14,10.44,vocsc+zstd,False,True,10
GSE136148,Mus musculus,Homo sapiens; Mus musculus,10xv2,171540,15024,57180,3016577,0.00117,True,5248459,24192716,4.609,13.919,vocsc+zstd,False,True,15
GSE136162,Drosophila melanogaster,Drosophila melanogaster,10x_suspect,72834,71769,24278,15686708,0.003001,True,15706407,125780744,8.008,8.01,vocsc+zstd,False,True,71
GSE136206,Mus musculus,Mus musculus,10xv2,171540,34427,57180,53803207,0.009111,True,44365726,430563368,9.705,6.597,vocsc+zstd,False,True,34
GSE136209,Homo sapiens,Homo sapiens,scATAC,115818,719,38606,10949192,0.131485,True,9271505,87596416,9.448,6.774,vocsc+zstd,False,True,1
GSE136260,Homo sapiens,Homo sapiens,10x_suspect,115818,573,38606,2744514,0.041356,True,2982273,21958408,7.363,8.693,vocsc+zstd,False,True,1
GSE136364,Mus musculus,Mus musculus,10x_suspect,171540,2546,57180,5409899,0.012387,True,5806560,43289380,7.455,8.587,vocsc+zstd,False,True,3
GSE136376,Mus musculus,Mus musculus,10xv3_5prime,171540,19389,57180,8995370,0.002705,True,9978675,72040520,7.219,8.874,vocsc+zstd,False,True,19
GSE136679,Mus musculus,Mus musculus,seqwell,171540,168637,57180,57013386,0.001971,True,58683897,456781640,7.784,8.234,vocsc+zstd,False,True,165
GSE136752,Mus musculus,Mus musculus,10xv3,171540,277093,57180,210318687,0.004425,True,174688943,1683657872,9.638,6.645,vocsc+zstd,False,True,271
