gse_id,nnz,nrows,ncols,experiment,codec,level,file_bytes,raw_int32_bytes,ratio_vs_int32,ratio_vs_theory,write_median_s,read_median_s,write_mbps,read_mbps,H_value_bits,H_gap_bits,pz_default_bytes
GSE135310,1008035,171540,81855,zstd_level,zstd-9,9,2618863,8064280,3.079305790337257,1.5522065265026892,0.08447087788954377,0.051943899132311344,95.46816845617556,155.24980093347807,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-10,10,2616506,8064280,3.082079689479023,1.5508095268188695,0.07893315516412258,0.051816394086927176,102.16594006957231,155.6318254502883,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-12,12,2611048,8064280,3.0885223098158288,1.547574556825536,0.08669297629967332,0.0522334729321301,93.02114593602191,154.38912152133508,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-15,15,2605854,8064280,3.094678366477938,1.5444960602800293,0.10137267084792256,0.05197135824710131,79.55082896156388,155.16777455878372,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-19,19,2588052,8064280,3.1159652124454995,1.5339447711958731,0.14676385326310992,0.05168677540495992,54.94731720856917,156.02211468634476,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,zstd_level,zstd-22,22,2587984,8064280,3.116047085298827,1.5339044674290085,0.14708576118573546,0.05162919918075204,54.827060994821046,156.19610855801258,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,lz4-0,0,3556116,8064280,2.26772130043002,2.1077186795187974,0.015313513111323118,0.004616172052919865,526.6120152427408,1746.9626148139573,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,lz4-9,9,2572075,8064280,3.1353207041007747,1.5244751640900667,0.660145410336554,0.004124907776713371,12.215914666268276,1955.020678407852,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,gzip-1,1,2454777,8064280,3.285137509435684,1.4549523516536342,0.0946198902092874,0.02402429236099124,85.22816906849943,335.6719057038344,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,gzip-6,6,2173554,8064280,3.710181573588694,1.2882707894632235,0.5201802784577012,0.021957254502922297,15.502856094256469,367.27178249569965,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,gzip-9,9,2133657,8064280,3.7795578202119646,1.2646237396603595,1.7574027967639267,0.024570647161453962,4.5887488143580555,328.20787938590047,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,bz2-9,9,1675272,8064280,4.813713832738803,0.9929378253338235,1.4322082288563251,0.2794971186667681,5.630661685584397,28.85281980174787,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,brotli-1,1,2371669,8064280,3.400255263276621,1.4056940361157138,0.03494218410924077,0.0320293833501637,230.78923672282207,251.77756036813568,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,brotli-4,4,2056726,8064280,3.9209306441402503,1.2190265471801196,0.12117167422547936,0.023216426372528076,66.55251775257129,347.35233883981545,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,brotli-11,11,1676340,8064280,4.810647004784232,0.9935708315545785,22.106517451815307,0.018981609027832747,0.36479196768904865,424.84701840478016,0.5581609021343122,13.547564644947924,3548775
GSE135310,1008035,171540,81855,alt_codec_raw,lzma-6,6,1586832,8064280,5.0819998588382385,0.9405192203117594,2.2319377483800054,0.1021165200509131,3.6131294458607774,78.97135542789084,0.5581609021343122,13.547564644947924,3548775
GSE202575,4455296,72834,3778,entropy,theory,0,4769843,35642368,7.472439503467571,1.0,0,0,0,0,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,entropy,value_entropy_only,0,991298,35642368,35.955243262359936,4.811714199315361,0,0,0,0,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-1,1,3768676,35642368,9.457530443052148,0.7901047264359694,0.16015276918187737,0.033562605269253254,222.55230541485528,1061.9666654022242,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-2,2,3790986,35642368,9.401872758168983,0.7947820286096736,0.16036071628332138,0.03334986511617899,222.26371162515846,1068.7409941789795,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-3,3,3825361,35642368,9.317386777352517,0.8019887638055982,0.16761870682239532,0.03340445086359978,212.63955960336682,1066.9945794211164,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-4,4,3837592,35642368,9.28769082278679,0.8045529988072376,0.17488771816715598,0.03343092184513807,203.8014354211733,1066.149721060819,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-5,5,3807879,35642368,9.360162967363197,0.7983236541417391,0.1835642815567553,0.0334531981498003,194.1683191181173,1065.4397776976898,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-6,6,3790764,35642368,9.402423363733538,0.7947354862034628,0.19143477268517017,0.033198218792676926,186.18544321943395,1073.6229019570837,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-7,7,3786346,35642368,9.41339433849944,0.7938092503897728,0.19834228372201324,0.03325280174612999,179.70130892490167,1071.8605990590886,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-8,8,3779312,35642368,9.430914409818506,0.7923345689245179,0.20214730314910412,0.03323915787041187,176.31879052925154,1072.3005720830058,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-9,9,3778914,35642368,9.431907685647252,0.792251128034104,0.2093659369274974,0.037099587731063366,170.23957441722152,960.721403654757,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-10,10,3775720,35642368,9.43988643225663,0.7915815044060085,0.22659369092434645,0.033036976121366024,157.29638303080569,1078.8629040703572,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-12,12,3773788,35642368,9.444719205212376,0.7911764596816878,0.2967628357000649,0.032921053003519773,120.1038799751306,1082.6618454819557,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-15,15,3772162,35642368,9.448790375386848,0.7908355680037656,0.38211998296901584,0.03303114324808121,93.275331279626,1079.0534173251929,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-19,19,3779181,35642368,9.431241319217047,0.7923071047118441,0.6938269292004406,0.0339654921554029,51.37068986508482,1049.3699851874621,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,zstd_level,zstd-22,22,3775630,35642368,9.440111451598806,0.7915626358629501,1.0881341211497784,0.04188619926571846,32.75549154026936,850.9334488405423,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,alt_codec_raw,lz4-0,0,18638300,35642368,1.9123186127490168,3.907528512064059,0.07249591313302517,0.02393051190301776,491.64658336806696,1489.4110140412547,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,alt_codec_raw,lz4-9,9,9941662,35642368,3.5851518589145357,2.084274194658515,3.5744000817649066,0.02422206662595272,9.971566468407508,1471.4833606233665,1.7799907382909843,6.785882632066644,3879115
GSE202575,4455296,72834,3778,alt_codec_raw,gzip-1,1,10591144,35642368,3.365299159373152,2.2204384066881735,0.4715598621405661,0.1451730546541512,75.58397323768716,245.51641545954624,1.7799907382909843,6.785882632066644,3879115
