bioproject_id	phs_accession	organism	name	protocols_inferred	disease_categories	sra_run_count	description
935426		Homo sapiens	Structurally complex osteosarcoma genomes exhibit limited heterogeneity within individual tumors and across evolutionary time		cancer	44	A key characteristic of osteosarcoma is extensive and complex genomic rearrangements. However, published models explaining how these genomic rearrangements occur disagree about if these rearrangements
649823		Homo sapiens	Multimodal Mapping of the Immune Landscape in Human Pancreatic Cancer	scRNA	cancer	41	Pancreatic ductal adenocarcinoma (PDA) is characterized by an immune-suppressive tumor microenvironment that has rendered it largely refractory to immunotherapy. We used single-cell RNA sequencing on 
1256939		Homo sapiens	High-resolution single cell profiling of SARS-CoV-2 vaccine responsiveness in healthy adults		neurological|infectious|normal	36	mRNA vaccines, administered in two doses, have been highly effective against SARS-CoV-2 and are now being explored for broader applications. However, how human immune cells respond to these platforms,
684641		Homo sapiens	Identification and characterization of skin-resident memory T cells in patients with melanoma-associated vitiligo	scRNA	cancer|autoimmune	32	Metastatic melanoma patients who develop melanoma-associated vitiligo, an autoimmune cutaneous side effect after receiving immunotherapy, have better overall survival than those who do not develop vit
904019		Homo sapiens	Human blastocyst lOX single cell RNA sequencing	scRNA	developmental	27	Recent advances in human blastoids have opened new avenues for modeling early human development and implantation. One limitation of our first protocol for human blastoid generation was relatively low 
735210			A single cell atlas of human adipose tissue		autoimmune|infectious|metabolic|normal	26	White adipose tissue (WAT), once regarded as morphologically and functionally bland, is now recognized to be dynamic, plastic, heterogenous, and involved in a wide array of biological processes includ
796651		Homo sapiens	Dissecting Cell Composition and Drug Sensitivity in Human Adenoid Cystic Carcinomas (ACCs)	scRNA	cancer	25	The study reports the results of single-cell RNA sequencing (scRNA-seq), RNA sequencing (RNA-seq), and whole-exome sequencing (WES) experiments performed on malignant cells isolated by flow cytometry 
796650		Homo sapiens	Dissecting Cell Composition and Drug Sensitivity in Human Adenoid Cystic Carcinomas (ACCs)	scRNA	cancer	25	The study reports the results of single-cell RNA sequencing (scRNA-seq), RNA sequencing (RNA-seq), and whole-exome sequencing (WES) experiments performed on malignant cells isolated by flow cytometry 
1149105		Homo sapiens	Developing Allelic Imbalance Analysis from Single-Nucleus RNA-seq Data	snRNA|scRNA		22	Single-cell RNA-seq (scRNA-seq) is emerging as a powerful tool for understanding gene function across diverse cells. Recently, this has included the use of allele-specific expression (ASE) analysis to
1172795		Homo sapiens	HIV DAb-seq of ART-treated individuals		neurological|infectious	18	Despite effective antiretroviral therapy (ART), HIV remains an incurable disease. The latent HIV reservoir is a central obstacle to a cure. It consists of rare CD4+ cells harboring replication-compete
1138809		Homo sapiens	Mutation patterns predict drug response in acute myeloid leukemia		cancer	16	As part of a study correlating co-occurring mutations in Acute Myeloid Leukemia (AML) with drug sensitivity, we performed single cell mutation analysis to document the subclonal composition for 8 pati
1043810		Homo sapiens	BPH Tissues for Cell Culture and Analysis - Spatial transcriptomics identifies candidate stromal drivers of benign prostatic hyperplasia	spatial|scRNA	cancer|developmental	14	The study goal was to apply spatial transcriptomics to identify candidate stromal drivers of benign prostatic hyperplasia (BPH). Laser microdissection (LCM) with RNA-seq of the stroma adjacent to hype
982043	phs003015	Homo sapiens	Tracking of donor and recipient immune and leukemia phenotypes after allogeneic stem cell transplantation using mitochondrial DNA mutations. [Tapestri]	atac	cancer	6	Mitochondrial DNA mutations (mtDNA) enable deconvolution of donor- and recipient-derived single cell profiles. Here, we provide examples for sensitive donor-recipient deconvolution of peripheral blood
1377643		Homo sapiens	scRNAseq Analysis of Osteosarcoma Reveals Conserved and Distinct Ecosystems Across Sites and Species	scRNA	cancer|neurological	3	Osteosarcoma exhibits profound heterogeneity that has long challenged efforts to understand its mechanisms and advance therapeutic progress. To unravel this complexity, we compiled the largest cross-s
1082805		Homo sapiens	Combinatorial Indexed 10x Genomics Single-cell ATAC-seq on Human Cerebral Cortex	10x_chromium|atac	neurological	2	Single-cell chromatin accessibility profiling (scATAC) using droplet fluidics (10x Genomics) is inherently limited in throughput due to the number of available indexed droplets. This study leverages s
407353		Homo sapiens	Homo sapiens	10x_chromium	cancer|neurological|liver	2	Combined transcriptomic and functional analyses of HCC cells at single-cell level were performed to assess CSC heterogeneity. Overall design: Single-cell transcriptome analyses of two HCC cell lines (
1269128		Homo sapiens	Single cell RNA sequencing of tendon scar tissue (tenolysis)	scRNA	metabolic	1	This human tenolysis sample was collected as a control (non-diabetic sample) as part of larger study described below.The purpose of the larger study is to define the cellular and molecular environment
1076640		Homo sapiens	Gene expression and T cell repertoire profile at single cell level of peripheral blood T cells after treatment with a personalized neoantigen vaccine (GNOS-PV02) and Pembrolizumab for advanced hepatocellular carcinoma.	scRNA	cancer|liver	0	To further characterize the T cell response to the neoantigen vaccine, we performed single-cell RNA and T cell receptor (scRNA/TCR-seq) of peripheral blood T cells at the 12-week post-vaccination time
667060		Homo sapiens	Single-cell RNA sequencing samples from high-grade serous ovarian cancer (HGSOC)	scRNA	cancer|neurological	0	We measured gene expression in single-cell RNA sequencing samples from patients with high-grade serous ovarian cancer (HGSOC), for a study on improving HGSOC subtype definition by taking into account 
672929		Homo sapiens	In-depth transcriptomic analyses investigating molecular mechanisms underlying diabetic retinopathy (smallRNA)	scRNA	metabolic|developmental|normal	0	Diabetic Retinopathy (DR) is among the major global causes for vision loss. With the rise in diabetes prevalence, an increase in DR incidence is expected. Current understanding of both the molecular e
976395		Homo sapiens	Adipocyte associated glucocorticoid signaling regulates normal fibroblast function which is lost in inflammatory arthritis [synovium_scRNA-seq]	scRNA	autoimmune|pulmonary|normal	0	Fibroblasts play critical roles in tissue homeostasis, but in pathologic states can drive fibrosis, inflammation, and tissue destruction. In the joint synovium, fibroblasts provide homeostatic mainten
947535		Homo sapiens	Epigenetic and transcriptomic characterization reveals progression markers and essential pathways in clear cell renal cell carcinoma	spatial|atac|snRNA	cancer|neurological|kidney	0	Identifying tumor-cell-specific markers and elucidating their epigenetic regulation and spatial heterogeneity provides mechanistic insights into cancer etiology. Here, we have performed snRNA-seq and 
1373318		Homo sapiens	Single-cell eQTL and multiome profiling of normal lung tissues for functional characterization of lung cancer risk-associated genomic loci	multiome	cancer|pulmonary|normal	0	This study was performed to identify cell-type-specific genetic regulation of gene expression in human lung tissues. All 129 participants are Korean female never-smokers who underwent lobectomey with 
1173250		Homo sapiens	MR1T Cells at Birth Have Diverse TCR Usage, are Less Cytotoxic and are Unable to Respond to Many Common Childhood Pathogens	10x_chromium	neurological|liver|normal	0	This study enrolled healthy adult participants and expectant mothers from the Portland, USA area and consent was obtained. Adult participants donated blood from which peripheral blood mononuclear cell
